case_type,user_id,candidate_item_id,label,relevance_probability,calibrated_relevance_probability,positive_evidence,negative_evidence,abs_evidence_margin,ambiguity,missing_information,evidence_risk,old_rank,new_rank,rank_delta,candidate_title_or_text,reason
demoted,AECY5GFGV7OMJYONMEP2XNE4JBHA,B00XDB3QTA,0,0.45,0.1229946524,0.4,0.5,0.1,0.6000000000000001,0.7000000000000001,0.7333333333000001,2,5,-3,Mererke_Pretty Nurtured Argan Oil (1.7oz),"User history shows travel toiletry containers, while the candidate is a single argan oil bottle with no clear travel or toiletry context."
demoted,AEEVXEJYV4A5CPDDHK63IRSDTPOQ,B08LCTLZHZ,0,0.55,0.1612903226,0.5,0.4,0.1,0.5,0.6000000000000001,0.6666666667000001,1,4,-3,"9 Pieces Waterproof Shower Cap,Dot Plastic Shower Caps Waterproof Reusable Large Elastic Bath Hair Cap,Beauty Salon Spa Shower Caps Lace Elastic Band Printed Hat Protection Hair Ba","Both items relate to personal care and spa contexts, but the user's epilator history does not strongly indicate a need for shower caps."
demoted,AELGH5Q3W53AUKAJFQTKWFP2G2FQ,B0BG6WX4DH,0,0.45,0.1612903226,0.4,0.5,0.1,0.6000000000000001,0.5,0.6666666667000001,3,6,-3,AG Care Natural Remedy Apple Cider Vinegar Leave On Mist,"The user's history focuses on skincare and hair care products, but the apple cider vinegar mist is a hair treatment that does not directly match the anti-aging, firming, and growth themes."
demoted,AE2NWYXUAEO5SWKLRYZQD6LMTDVA,B08DXZW75W,1,0.35000000000000003,0.0879120879,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,2,5,-3,"Glass Spray Bottles 16oz Refillable Container suitable for essential oils, cleaning products, aromatherapy, water mist plants (2 Pack，Blue)","The user's history shows a skincare soap, while the candidate is a spray bottle for cleaning and aromatherapy, with no clear topical or functional overlap."
demoted,AEGEF2JC2Z36MA3YIL7FX7EQZAWQ,B0825H74M5,0,0.35000000000000003,0.0879120879,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,3,6,-3,"Anti Aging Retinol Cream - Anti Wrinkle Hydrating Moisturizer for Face, Neck & Décolleté w/ Hyaluronic Acid - Helps Reduce Appearance of Lines & Wrinkles - Improve Skin Hydration -","The user interacted with a hair styling tool, while the candidate is a skincare product, showing a weak topical connection."
demoted,AEIOOSP7SVTJCXS53SSMVOMO3WKQ,B00RUKJGYY,0,0.35000000000000003,0.0879120879,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,3,6,-3,"Best Argan Oli for Beautiful Hair, Face, & Nails, Organic & Pure Moroccan, Great with Shampoo, Serums, & Conditioners for Growth, Perfect Moisturizer for Dry & Acne Prone Skin Care","The user's history shows a costume wig and accessories, while the candidate is a hair and skin oil, sharing only a loose hair-related theme with very different use cases."
demoted,AEIV4MZVHCOADS6ZACVONNHPYF5A,B07CCZH87X,0,0.35000000000000003,0.0879120879,0.30000000000000004,0.5,0.2,0.4,0.6000000000000001,0.6000000000000001,3,6,-3,BeautyBio GloPRO Regeneration Tools,"The user's interest in a nail drill suggests nail care tools, but the candidate is a facial micro-needling device, which is a different category."
high_risk_demoted,AECY5GFGV7OMJYONMEP2XNE4JBHA,B00XDB3QTA,0,0.45,0.1229946524,0.4,0.5,0.1,0.6000000000000001,0.7000000000000001,0.7333333333000001,2,5,-3,Mererke_Pretty Nurtured Argan Oil (1.7oz),"User history shows travel toiletry containers, while the candidate is a single argan oil bottle with no clear travel or toiletry context."
high_risk_demoted,AE3TSST7D3QYFO2MUZ3QFNMYAEHQ,B085J354CL,1,0.45,0.1229946524,0.4,0.5,0.1,0.6000000000000001,0.7000000000000001,0.7333333333000001,3,4,-1,"Mr. Pristine Organic Beard Conditioner to Grow, Thicken, Moisturize and Protect Your Beard, 8.5 oz.","User history shows interest in natural deodorant, but beard conditioner targets a different grooming category with no clear overlap in brand or product type."
high_risk_demoted,AEEVXEJYV4A5CPDDHK63IRSDTPOQ,B08LCTLZHZ,0,0.55,0.1612903226,0.5,0.4,0.1,0.5,0.6000000000000001,0.6666666667000001,1,4,-3,"9 Pieces Waterproof Shower Cap,Dot Plastic Shower Caps Waterproof Reusable Large Elastic Bath Hair Cap,Beauty Salon Spa Shower Caps Lace Elastic Band Printed Hat Protection Hair Ba","Both items relate to personal care and spa contexts, but the user's epilator history does not strongly indicate a need for shower caps."
high_risk_demoted,AELGH5Q3W53AUKAJFQTKWFP2G2FQ,B0BG6WX4DH,0,0.45,0.1612903226,0.4,0.5,0.1,0.6000000000000001,0.5,0.6666666667000001,3,6,-3,AG Care Natural Remedy Apple Cider Vinegar Leave On Mist,"The user's history focuses on skincare and hair care products, but the apple cider vinegar mist is a hair treatment that does not directly match the anti-aging, firming, and growth themes."
high_risk_demoted,AE55NQRWURHFSVJRYDRLZQIL4RDA,B07X4J45PS,0,0.45,0.1612903226,0.4,0.5,0.1,0.6000000000000001,0.5,0.6666666667000001,1,3,-2,"Cosmetic Travel Containers, Leakproof Silicone Travel Bottles Set, TSA Approved Travel Size Cosmetic Toiletries Containers Accessories Set for Shampoo Conditioner Facial Cleanser C","The user's history focuses on specific skincare products, while the candidate is generic travel containers, showing only weak topical alignment."
high_risk_demoted,AE5MYIUHLA3BAMM2MFJXJQN6UPRQ,B07WTZP6WD,0,0.30000000000000004,0.0879120879,0.2,0.5,0.30000000000000004,0.6000000000000001,0.7000000000000001,0.6666666667000001,3,5,-2,STYLEAGAL False Eyelashes - 4 Pairs Multipack Natural 3D False Eyelashes Natural Thick Hand-Made Faux Mink Eyelashes Extension(G106),"The user's only interaction is with a skincare set, which is unrelated to false eyelashes, and there is no shared category or brand affinity."
high_risk_demoted,AEE2XLIZKYGXRYGJG4AZEEL5VHUQ,B07WRF6KMW,0,0.45,0.1229946524,0.30000000000000004,0.4,0.1,0.5,0.6000000000000001,0.6666666667000001,2,4,-2,Fuller Brush Styling Professional Hairbrush - Everyday Hair Styling Tool - Combination Boar and Nylon Bristles Gently Brush Hair while Styling Smoothing and Removing Tangles Dirt F,"The user's history shows nail and hand care items, but the candidate is a hairbrush, which is a different personal care category with unclear overlap."
high_risk_demoted,AEIW7GMVHQ4HBUXTTYEMHEMADUMQ,B08HVRP54L,1,0.45,0.1612903226,0.4,0.5,0.1,0.6000000000000001,0.5,0.6666666667000001,1,3,-2,"So'Bio Étic | Moisturizing Fresh Gel Cream | Organic Face Moisturizer for Combination Skin | 24 hr Hydrating, Balancing & Plumping | 0.5 fl oz","User history focuses on grooming tools and cleansing wipes, not facial moisturizers, and the candidate is a small sample-size face cream with no clear topical match."
high_risk_demoted,AEJQTTVSBECATLYDADHXZ7OIZQZQ,B08P5JZYX8,0,0.45,0.1612903226,0.4,0.5,0.1,0.6000000000000001,0.5,0.6666666667000001,2,4,-2,Asenlin Hair Ties Bands 4MM Durable Neutral Ouchless Accessories for Women Men Girls No Metal Elastics Thick Tie with Strong Ponytail Holder and for Medium Hair(24 Count of 3 Pack),"Both items are beauty accessories, but makeup brushes and hair ties serve different purposes, so relevance is moderate."
high_risk_demoted,AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,B09C6P3174,0,0.45,0.1612903226,0.4,0.5,0.1,0.6000000000000001,0.5,0.6666666667000001,3,4,-1,"ROSEGEMM Birthday Gifts For Women- Your Best Friend, Sister, Mom, Wife, Or Any Female! Give A Gift That Shows You Care! Unique Package For Self Care, Relaxing For Her Special Bday!","The user history shows specific hair and skincare products, while the candidate is a generic gift set with no clear category match."
