case_type,sample_id,user_history_truncated,candidate_pool,target_item_id,predicted_ranked_item_ids,target_rank,NDCG,MRR,parse_success,failure_reason,raw_output_truncated
hit1,beauty_test_AEA42FBHILJ6UOXAYMRVKPTA4IWA_listwise,"[{""item_id"": ""B0BVQQ58G8"", ""title"": ""Beauty Bakerie Lip Whip Liquid Metallic Lipstick, Long Lasting Lip Color, Smudge Proof Makeup, Berried, 3.5 mL"", ""text"": ""Title: Beauty Bakerie Lip Whip Liquid Metallic Lipstick, Long Lasting Lip Color, Smudge Proof Makeup, Berried, 3.5 mL Description: Beauty Bakerie Berried metallic Lip whip is a metallic red liquid lipstick with hints of deep purple. It is long-lasting, smudge-proof and waterproof. Glides smoothly over lips, It is a weightless and non-stick","[""B075KLSX61"", ""B0B593V71L"", ""B08SVW5GZ2"", ""B089GQB9WM"", ""B08VJ7CZW3"", ""B08L4JSM2T""]",B0B593V71L,"[""B0B593V71L"", ""B075KLSX61"", ""B08SVW5GZ2"", ""B089GQB9WM"", ""B08VJ7CZW3"", ""B08L4JSM2T""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0B593V71L"",""B075KLSX61"",""B08SVW5GZ2"",""B089GQB9WM"",""B08VJ7CZW3"",""B08L4JSM2T""]}"
hit1,beauty_test_AEADQI7C4R2POQAY7LTFKGWMFFTA_listwise,"[{""item_id"": ""B08WTX8K9F"", ""title"": ""Arisson Men hs Razors Set – ludes 1 Ergonomic Design Razor Handle, 4 Blade Refills, Travel Blade Cover, Shave Gel (Black) 60 Count (Pack of 3)"", ""text"": ""Title: Arisson Men hs Razors Set – ludes 1 Ergonomic Design Razor Handle, 4 Blade Refills, Travel Blade Cover, Shave Gel (Black) 60 Count (Pack of 3)"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""item_id"": ""B09ZXKNS36"", ""title"": ""seedling Heated Eye Mask for Dry Eyes, Ey","[""B086Q2J3F2"", ""B085J24382"", ""B09671G4KH"", ""B08CMQHW3P"", ""B0BKLCF1CL"", ""B01BEYRHBA""]",B0BKLCF1CL,"[""B0BKLCF1CL"", ""B086Q2J3F2"", ""B085J24382"", ""B09671G4KH"", ""B08CMQHW3P"", ""B01BEYRHBA""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0BKLCF1CL"",""B086Q2J3F2"",""B085J24382"",""B09671G4KH"",""B08CMQHW3P"",""B01BEYRHBA""]}"
hit1,beauty_test_AEB3LQB3R7DHJN6V7N5KKWVAC4SA_listwise,"[{""item_id"": ""B09JFTQLD5"", ""title"": ""AIFAIFA 9Pcs Gel Nail Polish Set, Burgundy Nail Polish Kits Red Colors Soak Off UV/LED Nail Polish Set, Gel Polish with Base Coat & Glossy & Matte Top All-Season Salon Manicure Art Design Red"", ""text"": ""Title: AIFAIFA 9Pcs Gel Nail Polish Set, Burgundy Nail Polish Kits Red Colors Soak Off UV/LED Nail Polish Set, Gel Polish with Base Coat & Glossy & Matte Top All-Season Salon Manicure Art Design Red"", ""text_missing"": false, ""text_fallback_used"": false, ""text_s","[""B08YCYWY79"", ""B086JN17SK"", ""B08KFLJQMR"", ""B094XX4BTX"", ""B0B4RV6X1H"", ""B002C741NG""]",B0B4RV6X1H,"[""B0B4RV6X1H"", ""B08YCYWY79"", ""B086JN17SK"", ""B08KFLJQMR"", ""B094XX4BTX"", ""B002C741NG""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0B4RV6X1H"",""B08YCYWY79"",""B086JN17SK"",""B08KFLJQMR"",""B094XX4BTX"",""B002C741NG""]}"
hit1,beauty_test_AECLZPHQ72FZTCG2MWNAZIJXCRZQ_listwise,"[{""item_id"": ""B09V1WZTDP"", ""title"": ""Sunny Isle Jamaican Black Castor Oil Pure Butter infused with Tea Tree Oil, 4 Oz"", ""text"": ""Title: Sunny Isle Jamaican Black Castor Oil Pure Butter infused with Tea Tree Oil, 4 Oz"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""item_id"": ""B0B442Q5WY"", ""title"": ""BeautyLux Face Moisturizer Hydrating with Aloe, Chamomile and Hyaluronic Acid 2 oz. (57g)"", ""text"": ""Title: BeautyLux Face Moisturizer Hydrating with Aloe, Chamomile","[""B0B7DQ98PR"", ""B0845LNDJK"", ""B095C1WF44"", ""B089R7S73D"", ""B096YFBWGX"", ""B07J3GH1W1""]",B0B7DQ98PR,"[""B0B7DQ98PR"", ""B0845LNDJK"", ""B095C1WF44"", ""B089R7S73D"", ""B096YFBWGX"", ""B07J3GH1W1""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0B7DQ98PR"",""B0845LNDJK"",""B095C1WF44"",""B089R7S73D"",""B096YFBWGX"",""B07J3GH1W1""]}"
hit1,beauty_test_AECQQBG6YRYCOJL2NCB2H3V6LD6Q_listwise,"[{""item_id"": ""B00LHZC4GA"", ""title"": ""eb5 Collagen Boosting Serum, 1 fl.oz."", ""text"": ""Title: eb5 Collagen Boosting Serum, 1 fl.oz."", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""item_id"": ""B07W7PNSV2"", ""title"": ""WIS Intensive Hydrating Facial Mask Smoothing Face Sheet Mask 24 Pack, Essence Full Face Facial Mask Sheet - Sensitive Soothing, Anti-Acne, Nourishing Cleansing Facial Mask Set for Women, Men"", ""text"": ""Title: WIS Intensive Hydrating Facial Mask Smoot","[""B085SY4WC3"", ""B0B2VVXM9C"", ""B09VB59RFG"", ""B01JMQ7IUC"", ""B093Q24N9V"", ""B081632HX6""]",B0B2VVXM9C,"[""B0B2VVXM9C"", ""B085SY4WC3"", ""B09VB59RFG"", ""B01JMQ7IUC"", ""B093Q24N9V"", ""B081632HX6""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0B2VVXM9C"",""B085SY4WC3"",""B09VB59RFG"",""B01JMQ7IUC"",""B093Q24N9V"",""B081632HX6""]}"
hit1,beauty_test_AEDEY7PBQ6AQUZ5NNKFCYCN7MNNA_listwise,"[{""item_id"": ""B0B6QJLY2H"", ""title"": ""L’ANGE HAIR Wide Tooth Comb Tortoiseshell Acetate | Lightweight, Smooth, Compact Design | Easy Glide Wide Tooth Comb"", ""text"": ""Title: L’ANGE HAIR Wide Tooth Comb Tortoiseshell Acetate | Lightweight, Smooth, Compact Design | Easy Glide Wide Tooth Comb"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""item_id"": ""B0B62GY2RX"", ""title"": ""8 Sheets Skull Nail Art Stickers 3D Self-Adhesive Acrylic Nail Kit Designs Charms Nail Sticke","[""B08DX6B4QN"", ""B08H1XKLMS"", ""B0989DTGRK"", ""B07PXFPVZK"", ""B0BN7ZDMD5"", ""B09TZXGSX6""]",B0BN7ZDMD5,"[""B0BN7ZDMD5"", ""B08DX6B4QN"", ""B08H1XKLMS"", ""B0989DTGRK"", ""B07PXFPVZK"", ""B09TZXGSX6""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0BN7ZDMD5"",""B08DX6B4QN"",""B08H1XKLMS"",""B0989DTGRK"",""B07PXFPVZK"",""B09TZXGSX6""]}"
hit1,beauty_test_AEEHSGIEOXLHDMNDUYGX4R4W5TZA_listwise,"[{""item_id"": ""B01BEYRHBA"", ""title"": ""LumaRx Facial Cleansing Brush with 1-Minute Pulsing Timer and LED Speed Indicator Light, Rechargeable and Showerproof, White/Silver"", ""text"": ""Title: LumaRx Facial Cleansing Brush with 1-Minute Pulsing Timer and LED Speed Indicator Light, Rechargeable and Showerproof, White/Silver"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""item_id"": ""B07DNGSYK8"", ""title"": ""It’S SKIN Signature D’escargot Unwrinkle Snail Cream 55ml 1.86 ","[""B01KJPFO9W"", ""B08YNR839W"", ""B08PTZL95G"", ""B08ZYKQ3D3"", ""B0B4JPGX8P"", ""B08N6CLJ6P""]",B08ZYKQ3D3,"[""B08ZYKQ3D3"", ""B01KJPFO9W"", ""B08YNR839W"", ""B08PTZL95G"", ""B0B4JPGX8P"", ""B08N6CLJ6P""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B08ZYKQ3D3"",""B01KJPFO9W"",""B08YNR839W"",""B08PTZL95G"",""B0B4JPGX8P"",""B08N6CLJ6P""]}"
hit1,beauty_test_AEF4QCBYMXQN3RDFNM4ZXM67UTJA_listwise,"[{""item_id"": ""B08HL2GW6R"", ""title"": ""Bicrops Professional Haircutting Shears Kit, Stainless Steel Beard Hairdressing Scissors Set, Regular Hair Shear, Thinning Scissor, Leather Case. Home Hair Salon For Men And Women"", ""text"": ""Title: Bicrops Professional Haircutting Shears Kit, Stainless Steel Beard Hairdressing Scissors Set, Regular Hair Shear, Thinning Scissor, Leather Case. Home Hair Salon For Men And Women"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""i","[""B09WN3KBDF"", ""B08QZ8LD7F"", ""B08KZQKD4G"", ""B0BQRP3RYL"", ""B08W4WQMNM"", ""B0B6QJLY2H""]",B0B6QJLY2H,"[""B0B6QJLY2H"", ""B09WN3KBDF"", ""B08QZ8LD7F"", ""B08KZQKD4G"", ""B0BQRP3RYL"", ""B08W4WQMNM""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0B6QJLY2H"",""B09WN3KBDF"",""B08QZ8LD7F"",""B08KZQKD4G"",""B0BQRP3RYL"",""B08W4WQMNM""]}"
hit1,beauty_test_AEFRTLVCVRALKXBED77KHPIXEPWQ_listwise,"[{""item_id"": ""B07J1LYVHC"", ""title"": ""ABOUT ME MediAnswer Collagen Firming Up Mask 4ea (1box) 25g - 77% Pure Collagen Extract Anti-Aging Total Care Facial Mask Sheet, Powerful Hydrating and Anti-Wrinkle Night Skin Care"", ""text"": ""Title: ABOUT ME MediAnswer Collagen Firming Up Mask 4ea (1box) 25g - 77% Pure Collagen Extract Anti-Aging Total Care Facial Mask Sheet, Powerful Hydrating and Anti-Wrinkle Night Skin Care"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {","[""B07V2L94ZW"", ""B00PKIE760"", ""B09VH7M73X"", ""B09ZNXX417"", ""B08HRHCZV2"", ""B09CLNDMXX""]",B09CLNDMXX,"[""B09CLNDMXX"", ""B07V2L94ZW"", ""B00PKIE760"", ""B09VH7M73X"", ""B09ZNXX417"", ""B08HRHCZV2""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B09CLNDMXX"",""B07V2L94ZW"",""B00PKIE760"",""B09VH7M73X"",""B09ZNXX417"",""B08HRHCZV2""]}"
hit1,beauty_test_AEGRKUH3EW3DHUZOZDS3XIM5KOBA_listwise,"[{""item_id"": ""B0B7DNFX1J"", ""title"": ""LLTGMV Rat Tail Comb Steel Pin Rat Tail Carbon Fiber Heat Resistant Teasing Combs with Stainless Steel Pintail (Pink)"", ""text"": ""Title: LLTGMV Rat Tail Comb Steel Pin Rat Tail Carbon Fiber Heat Resistant Teasing Combs with Stainless Steel Pintail (Pink)"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""item_id"": ""B0B7L3W5WD"", ""title"": ""6 Packs (72 Pcs) Oval Press On Nails With Designs, Short Round Press on Nails With Designs,","[""B0895FHBVG"", ""B08KW32B98"", ""B07T4YQK62"", ""B0BF4T4GBD"", ""B07HGFNG5N"", ""B09BN5TYK5""]",B0BF4T4GBD,"[""B0BF4T4GBD"", ""B0895FHBVG"", ""B08KW32B98"", ""B07T4YQK62"", ""B07HGFNG5N"", ""B09BN5TYK5""]",1,1.0,1.0,True,,"{""ranked_item_ids"":[""B0BF4T4GBD"",""B0895FHBVG"",""B08KW32B98"",""B07T4YQK62"",""B07HGFNG5N"",""B09BN5TYK5""]}"
rank2_3,beauty_test_AE23ZBUF2YVBQPH2NN6F5XSA3QYQ_listwise,"[{""item_id"": ""B08BF4BKKM"", ""title"": ""Facial Kit For Women - Includes Facial Mask, Facial Makeup Wipes, Nose Strips, Facial Cleansers, Facial- Self Care Package For Women (Multivitamin Facial Kit)"", ""text"": ""Title: Facial Kit For Women - Includes Facial Mask, Facial Makeup Wipes, Nose Strips, Facial Cleansers, Facial- Self Care Package For Women (Multivitamin Facial Kit)"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""item_id"": ""B0841WQNNZ"", ""title"": ""2 Pack Ha","[""B09XF4WD3V"", ""B01MSF13T1"", ""B07RM722DH"", ""B07TVBW1HT"", ""B082NKQ4ZT"", ""B09B7F54K1""]",B09XF4WD3V,"[""B09B7F54K1"", ""B09XF4WD3V"", ""B01MSF13T1"", ""B07RM722DH"", ""B07TVBW1HT"", ""B082NKQ4ZT""]",2,0.6309297535714575,0.5,True,,"{""ranked_item_ids"":[""B09B7F54K1"",""B09XF4WD3V"",""B01MSF13T1"",""B07RM722DH"",""B07TVBW1HT"",""B082NKQ4ZT""]}"
rank2_3,beauty_test_AE2O2C43KTYO4LXXGZWJZLE67GBQ_listwise,"[{""item_id"": ""B07RPL6JK9"", ""title"": ""Floss Picks"", ""text"": ""Title: Floss Picks"", ""text_missing"": false, ""text_fallback_used"": false, ""text_source"": ""metadata""}, {""item_id"": ""B083J1Y349"", ""title"": ""Nail Clipper Set, GIDIBII Luxury 18 in 1 Stainless Steel Nail Clipper Kit, Manicure Pedicure Care Tools with Portable Travel Case"", ""text"": ""Title: Nail Clipper Set, GIDIBII Luxury 18 in 1 Stainless Steel Nail Clipper Kit, Manicure Pedicure Care Tools with Portable Travel Case"", ""text_missing"": false, ","[""B079J6BS5S"", ""B07Q4YCBWD"", ""B08G4Y4SFV"", ""B09QT8SLJB"", ""B08YZ3854D"", ""B07ZJX5MNJ""]",B07Q4YCBWD,"[""B08YZ3854D"", ""B079J6BS5S"", ""B07Q4YCBWD"", ""B08G4Y4SFV"", ""B09QT8SLJB"", ""B07ZJX5MNJ""]",3,0.5,0.3333333333333333,True,,"{""ranked_item_ids"":[""B08YZ3854D"",""B079J6BS5S"",""B07Q4YCBWD"",""B08G4Y4SFV"",""B09QT8SLJB"",""B07ZJX5MNJ""]}"
rank2_3,beauty_test_AE3QBGRRHKT3GFDPRXFEN7JICEZQ_listwise,"[{""item_id"": ""B086SSHLWT"", ""title"": ""4D Silk Fiber Lash Mascara Black, Waterproof Natural Thick Fiber Mascara, Thick Thickening Lengthening, Dramatic Extension Voluminous Eyelashes Mascara, No Clumping, No Smudging Lasting All Day"", ""text"": ""Title: 4D Silk Fiber Lash Mascara Black, Waterproof Natural Thick Fiber Mascara, Thick Thickening Lengthening, Dramatic Extension Voluminous Eyelashes Mascara, No Clumping, No Smudging Lasting All Day"", ""text_missing"": false, ""text_fallback_used"": false, ""te","[""B09FXJRS2G"", ""B08XZT4FLY"", ""B0859CYSTM"", ""B0046BPTI2"", ""B08N6CLJ6P"", ""B0BTJ6SYKB""]",B09FXJRS2G,"[""B08N6CLJ6P"", ""B09FXJRS2G"", ""B08XZT4FLY"", ""B0859CYSTM"", ""B0046BPTI2"", ""B0BTJ6SYKB""]",2,0.6309297535714575,0.5,True,,"{""ranked_item_ids"":[""B08N6CLJ6P"",""B09FXJRS2G"",""B08XZT4FLY"",""B0859CYSTM"",""B0046BPTI2"",""B0BTJ6SYKB""]}"
